x,y,event
30.0,64.0,Faceoff
179.0,39.0,Shot
38.0,25.0,Penalty
168.0,64.0,Faceoff
161.0,35.0,Blocked Shot
196.0,36.0,Hit
162.0,56.0,Blocked Shot
84.0,4.0,Hit
58.0,54.0,Hit
175.0,41.0,Missed Shot
119.0,83.0,Hit
22.0,23.0,Shot
67.0,5.0,Missed Shot
119.0,64.0,Faceoff
26.0,41.0,Blocked Shot
190.0,76.0,Hit
131.0,11.0,Missed Shot
197.0,47.0,Hit
172.0,28.0,Blocked Shot
154.0,83.0,Hit
148.0,42.0,Blocked Shot
193.0,52.0,Giveaway
158.0,19.0,Blocked Shot
29.0,42.0,Shot
18.0,39.0,Shot
36.0,26.0,Blocked Shot
27.0,55.0,Giveaway
41.0,41.0,Shot
30.0,20.0,Faceoff
5.0,19.0,Hit
77.0,70.0,Missed Shot
153.0,54.0,Shot
148.0,68.0,Blocked Shot
178.0,37.0,Blocked Shot
155.0,40.0,Blocked Shot
99.0,42.0,Faceoff
4.0,26.0,Hit
170.0,55.0,Shot
165.0,47.0,Missed Shot
177.0,20.0,Shot
168.0,20.0,Faceoff
79.0,20.0,Faceoff
174.0,18.0,Missed Shot
153.0,83.0,Giveaway
196.0,49.0,Hit
39.0,24.0,Shot
163.0,26.0,Shot
168.0,20.0,Faceoff
164.0,1.0,Giveaway
172.0,11.0,Takeaway
146.0,26.0,Giveaway
130.0,79.0,Giveaway
144.0,62.0,Blocked Shot
130.0,62.0,Shot
177.0,43.0,Shot
168.0,20.0,Faceoff
88.0,1.0,Hit
30.0,37.0,Blocked Shot
1.0,32.0,Hit
30.0,26.0,Missed Shot
1.0,51.0,Hit
23.0,36.0,Blocked Shot
156.0,57.0,Shot
133.0,24.0,Missed Shot
4.0,17.0,Hit
5.0,30.0,Penalty
30.0,64.0,Faceoff
38.0,72.0,Shot
30.0,64.0,Faceoff
60.0,82.0,Giveaway
32.0,28.0,Blocked Shot
42.0,39.0,Takeaway
25.0,55.0,Missed Shot
28.0,51.0,Blocked Shot
79.0,64.0,Faceoff
96.0,5.0,Hit
192.0,59.0,Takeaway
167.0,49.0,Shot
168.0,64.0,Faceoff
79.0,81.0,Hit
183.0,48.0,Goal
99.0,42.0,Faceoff
35.0,43.0,Blocked Shot
112.0,3.0,Hit
168.0,64.0,Faceoff
45.0,82.0,Giveaway
61.0,75.0,Shot
17.0,46.0,Missed Shot
13.0,62.0,Penalty
30.0,64.0,Faceoff
31.0,44.0,Shot
35.0,19.0,Shot
67.0,78.0,Giveaway
23.0,53.0,Goal
99.0,42.0,Faceoff
30.0,70.0,Missed Shot
167.0,55.0,Shot
168.0,64.0,Faceoff
150.0,60.0,Blocked Shot
194.0,28.0,Hit
192.0,36.0,Giveaway
59.0,17.0,Shot
30.0,20.0,Faceoff
68.0,23.0,Missed Shot
11.0,8.0,Hit
82.0,42.0,Takeaway
20.0,44.0,Blocked Shot
47.0,82.0,Takeaway
38.0,21.0,Giveaway
90.0,84.0,Hit
75.0,79.0,Giveaway
79.0,64.0,Faceoff
77.0,70.0,Giveaway
79.0,64.0,Faceoff
73.0,2.0,Hit
6.0,19.0,Giveaway
29.0,47.0,Missed Shot
139.0,53.0,Blocked Shot
195.0,62.0,Hit
30.0,5.0,Hit
20.0,5.0,Hit
29.0,58.0,Shot
21.0,38.0,Blocked Shot
32.0,35.0,Shot
79.0,20.0,Faceoff
43.0,81.0,Hit
23.0,5.0,Giveaway
187.0,57.0,Takeaway
1.0,49.0,Giveaway
1.0,43.0,Giveaway
168.0,64.0,Faceoff
168.0,64.0,Faceoff
160.0,48.0,Blocked Shot
4.0,65.0,Hit
23.0,5.0,Hit
30.0,20.0,Faceoff
29.0,51.0,Missed Shot
19.0,33.0,Missed Shot
64.0,46.0,Missed Shot
30.0,64.0,Faceoff
99.0,42.0,Faceoff
5.0,35.0,Hit
63.0,7.0,Giveaway
152.0,27.0,Blocked Shot
166.0,80.0,Shot
168.0,42.0,Shot
183.0,57.0,Missed Shot
30.0,20.0,Faceoff
30.0,20.0,Faceoff
173.0,40.0,Shot
192.0,13.0,Hit
119.0,64.0,Faceoff
168.0,64.0,Faceoff
174.0,37.0,Shot
168.0,20.0,Faceoff
154.0,7.0,Missed Shot
163.0,81.0,Missed Shot
155.0,82.0,Giveaway
2.0,31.0,Hit
3.0,41.0,Takeaway
168.0,64.0,Faceoff
147.0,81.0,Hit
131.0,80.0,Takeaway
168.0,64.0,Faceoff
187.0,78.0,Hit
180.0,28.0,Shot
180.0,42.0,Shot
168.0,20.0,Faceoff
168.0,64.0,Faceoff
191.0,65.0,Penalty
30.0,64.0,Faceoff
110.0,80.0,Giveaway
68.0,63.0,Takeaway
69.0,67.0,Shot
26.0,38.0,Blocked Shot
50.0,37.0,Shot
28.0,61.0,Shot
30.0,64.0,Faceoff
15.0,6.0,Hit
172.0,43.0,Shot
177.0,81.0,Hit
25.0,31.0,Shot
30.0,20.0,Faceoff
155.0,43.0,Missed Shot
177.0,47.0,Shot
63.0,70.0,Shot
173.0,41.0,Shot
3.0,48.0,Takeaway
25.0,46.0,Shot
9.0,72.0,Hit
166.0,24.0,Shot
182.0,67.0,Takeaway
138.0,20.0,Missed Shot
171.0,44.0,Blocked Shot
79.0,20.0,Faceoff
11.0,50.0,Shot
27.0,82.0,Hit
168.0,20.0,Faceoff
172.0,57.0,Blocked Shot
168.0,64.0,Faceoff
22.0,67.0,Missed Shot
69.0,75.0,Giveaway
25.0,55.0,Blocked Shot
27.0,49.0,Blocked Shot
