x,y,group
65,51,A
18,79,A
30,64,A
3,22,A
195,24,A
157,7,A
40,4,A
30,20,A
30,20,A
18,24,A
36,27,A
99,42,A
30,20,A
35,47,A
22,81,A
23,51,A
22,58,A
99,42,A
134,3,A
161,14,A
168,20,A
129,2,A
27,10,A
72,3,A
65,10,A
30,20,A
35,31,A
128,32,A
119,20,A
152,30,A
70,76,A
30,20,A
62,8,A
62,26,A
24,59,A
34,82,A
32,83,A
55,51,A
35,45,A
32,44,A
153,17,A
144,81,A
79,64,A
129,19,A
168,64,A
183,30,A
50,33,A
168,20,A
153,42,A
164,50,A
132,44,A
168,64,A
177,23,A
176,52,A
119,20,A
17,79,A
193,69,A
195,65,A
180,64,A
130,7,A
108,77,A
33,82,A
195,36,A
165,59,A
168,64,A
95,22,A
168,20,A
187,76,A
168,64,A
171,65,A
168,64,A
79,64,A
156,44,A
162,57,A
168,64,A
148,77,A
30,20,A
7,13,A
65,24,A
72,65,A
130,68,A
134,49,A
128,79,A
30,64,A
19,39,A
27,43,A
28,34,A
136,81,A
168,64,A
177,2,A
173,36,A
151,53,A
21,7,A
71,57,A
169,29,A
119,64,A
118,81,A
147,81,A
30,20,A
30,23,A
14,39,A
30,20,A
66,3,A
72,72,A
163,15,A
149,23,A
131,35,A
168,20,A
2,65,A
168,64,A
166,34,A
99,42,A
150,77,A
159,28,A
140,47,A
190,37,A
119,20,A
2,28,A
32,5,A
44,66,A
30,20,A
2,21,A
138,73,A
174,43,A
165,62,A
174,42,A
168,47,A
168,20,A
129,17,A
164,68,A
175,43,A
168,64,A
169,45,A
155,52,A
164,76,A
160,42,A
30,64,A
13,39,A
99,42,A
166,42,A
168,20,A
168,64,A
55,8,A
113,81,A
11,57,A
127,79,A
193,19,A
14,77,A
137,8,A
134,56,A
191,11,A
168,20,A
84,70,A
105,77,A
144,6,A
79,64,A
170,36,A
2,48,A
24,31,A
5,60,A
72,22,A
41,39,A
29,43,A
36,57,A
196,56,A
176,62,A
140,5,A
17,45,A
168,20,A
181,80,A
135,67,A
166,81,A
133,75,A
15,16,A
171,79,A
195,52,A
99,42,A
3,58,A
43,49,A
20,38,A
55,42,A
30,64,A
32,43,A
28,77,A
21,76,A
99,42,A
32,36,A
56,38,A
35,46,A
30,64,A
77,64,A
49,46,A
30,64,A
158,17,A
61,43,A
49,73,A
45,37,A
72,81,A
45,20,A
52,66,A
16,71,A
16,45,A
79,20,A
154,42,A
167,65,A
131,41,A
168,20,A
183,9,A
173,41,A
168,54,A
168,20,A
62,57,A
152,20,A
15,60,A
44,82,A
112,43,A
168,20,A
154,32,A
119,20,A
2,26,A
157,44,A
184,12,A
168,20,A
8,73,A
23,37,A
3,24,A
3,53,A
165,81,A
148,5,A
166,75,A
106,7,A
168,64,A
150,3,A
136,44,A
99,42,A
167,51,A
99,42,A
79,20,A
53,53,A
27,37,A
158,26,A
168,20,A
168,20,A
135,22,A
196,52,A
2,27,A
13,20,A
62,3,A
30,64,A
59,43,A
63,42,A
99,42,A
2,33,A
53,22,A
59,16,A
47,55,A
176,39,A
165,49,A
168,64,A
160,18,A
168,20,A
151,73,A
168,64,A
174,36,A
135,26,A
181,61,A
168,20,A
134,43,A
168,20,A
153,21,A
135,16,A
168,20,A
137,69,A
99,42,A
66,59,A
65,42,A
30,20,A
19,47,A
166,82,A
138,33,A
196,47,A
30,20,A
21,29,A
99,42,A
164,42,A
181,34,A
178,43,A
120,82,A
189,25,A
130,15,A
119,64,A
147,51,A
91,57,A
64,68,A
173,60,A
168,64,A
181,63,A
184,31,A
167,43,A
24,48,A
66,33,A
45,64,A
167,33,A
168,20,A
180,13,A
139,70,A
133,47,A
176,42,A
168,20,A
170,43,A
186,34,A
177,62,A
177,42,A
185,37,A
99,42,A
168,45,A
129,83,A
150,47,A
166,28,A
30,64,A
48,64,A
168,20,A
17,60,A
193,62,A
15,39,A
99,42,A
13,75,A
178,34,A
88,83,A
1,51,A
153,43,A
29,62,A
30,64,A
196,61,A
195,36,A
198,54,A
173,21,A
30,20,A
177,53,A
20,16,A
93,9,A
145,26,A
37,83,A
99,42,A
65,72,A
43,82,A
192,76,A
173,46,A
160,47,A
46,12,A
15,7,A
44,35,A
0,59,A
58,4,A
22,37,A
30,20,A
132,10,A
22,45,A
96,70,A
24,16,A
175,82,A
187,77,A
130,40,A
144,83,A
22,43,A
99,42,A
67,72,A
179,79,A
30,20,A
23,46,A
19,56,A
1,55,A
19,46,A
99,42,A
197,35,A
181,81,A
46,32,A
30,20,A
41,7,A
30,20,A
28,33,A
21,40,A
20,30,A
36,55,A
57,56,A
25,67,A
30,64,A
30,20,A
67,44,A
30,64,A
60,56,A
193,69,A
161,67,A
43,18,A
99,42,A
2,38,A
41,45,A
34,19,A
15,10,A
51,66,A
41,7,A
197,33,A
77,83,A
153,39,A
168,20,A
168,64,A
36,38,A
32,7,A
30,20,A
5,67,A
64,3,A
155,34,A
197,50,A
6,15,A
141,24,A
168,20,A
96,82,A
171,73,A
192,44,A
161,83,A
133,33,A
57,9,A
163,2,A
1,22,A
64,76,A
168,64,A
167,27,A
184,47,A
69,19,A
146,15,A
99,42,A
23,27,A
82,83,A
30,20,A
53,49,A
30,64,A
27,5,A
171,29,A
168,20,A
168,22,A
46,67,A
49,51,A
28,68,A
22,68,A
99,42,A
57,11,A
162,78,A
123,21,A
13,20,A
23,70,A
157,41,A
158,57,A
179,50,A
25,45,A
64,8,A
30,20,A
34,44,A
30,20,A
30,20,A
193,71,A
133,20,A
168,40,A
172,47,A
174,33,A
145,44,A
177,30,A
175,39,A
133,25,A
168,20,A
177,37,A
21,62,A
67,20,A
69,30,A
174,36,A
65,74,A
30,20,A
12,15,A
35,50,A
168,64,A
172,49,A
98,54,A
30,20,A
13,52,A
79,20,A
20,4,A
56,43,A
23,41,A
14,30,A
2,16,A
32,27,A
35,43,A
30,20,A
54,83,A
182,40,A
168,64,A
185,78,A
153,70,A
167,49,A
168,64,A
162,65,A
30,20,A
30,20,A
22,8,A
21,20,A
161,20,A
69,58,A
168,64,A
173,83,A
134,27,A
24,43,A
54,49,A
30,64,A
145,2,A
145,7,A
168,64,A
169,25,A
178,81,A
50,44,A
153,1,A
41,24,A
54,37,A
184,34,A
99,42,A
186,65,A
155,83,A
180,51,A
156,79,A
30,20,A
60,41,A
31,34,A
2,30,A
105,37,A
133,18,A
48,41,A
45,4,A
40,20,A
99,42,A
170,33,A
168,20,A
164,7,A
18,38,A
118,40,A
177,49,A
168,64,A
178,42,A
179,35,A
145,82,A
65,9,A
13,8,A
44,57,A
30,64,A
57,65,A
30,64,A
75,54,A
165,49,A
173,84,A
20,13,A
174,67,A
30,20,A
30,64,A
37,55,A
18,43,A
14,51,A
18,39,A
13,47,A
18,40,A
19,46,A
33,29,A
30,20,A
146,58,A
188,23,A
145,53,A
196,65,A
94,42,A
168,5,A
197,18,A
16,49,A
68,6,A
162,16,A
180,48,A
168,64,A
2,22,A
2,28,A
27,3,A
13,49,A
162,3,A
185,6,A
126,59,A
21,40,A
132,61,A
50,45,A
34,4,A
150,33,A
168,20,A
169,43,A
159,55,A
160,26,A
99,42,A
98,1,A
98,2,A
98,3,A
168,64,A
177,65,A
148,81,A
150,80,A
80,68,A
194,20,A
143,22,A
147,15,A
146,20,A
168,20,A
180,49,A
168,64,A
167,12,A
179,52,A
168,64,A
174,43,A
168,20,A
136,64,A
197,27,A
99,42,A
112,5,A
