x,y,group
168.0,64.0,A
22.0,67.0,A
69.0,75.0,A
25.0,55.0,A
27.0,49.0,A
12.0,8.0,A
58.0,76.0,A
176.0,37.0,A
180.0,42.0,A
190.0,29.0,A
170.0,43.0,A
132.0,64.0,A
34.0,37.0,A
66.0,25.0,A
89.0,15.0,A
22.0,49.0,A
71.0,11.0,A
65.0,51.0,A
18.0,79.0,A
30.0,64.0,A
3.0,22.0,A
195.0,24.0,A
157.0,7.0,A
40.0,4.0,A
30.0,20.0,A
30.0,20.0,A
18.0,24.0,A
36.0,27.0,A
99.0,42.0,A
30.0,20.0,A
35.0,47.0,A
22.0,81.0,A
23.0,51.0,A
22.0,58.0,A
99.0,42.0,A
134.0,3.0,A
161.0,14.0,A
168.0,20.0,A
129.0,2.0,A
27.0,10.0,A
72.0,3.0,A
65.0,10.0,A
30.0,20.0,A
35.0,31.0,A
128.0,32.0,A
119.0,20.0,A
152.0,30.0,A
70.0,76.0,A
30.0,20.0,A
62.0,8.0,A
62.0,26.0,A
24.0,59.0,A
34.0,82.0,A
32.0,83.0,A
55.0,51.0,A
35.0,45.0,A
32.0,44.0,A
153.0,17.0,A
144.0,81.0,A
79.0,64.0,A
129.0,19.0,A
168.0,64.0,A
183.0,30.0,A
50.0,33.0,A
168.0,20.0,A
153.0,42.0,A
164.0,50.0,A
132.0,44.0,A
168.0,64.0,A
177.0,23.0,A
176.0,52.0,A
119.0,20.0,A
17.0,79.0,A
193.0,69.0,A
195.0,65.0,A
180.0,64.0,A
130.0,7.0,A
108.0,77.0,A
33.0,82.0,A
195.0,36.0,A
165.0,59.0,A
168.0,64.0,A
95.0,22.0,A
168.0,20.0,A
187.0,76.0,A
168.0,64.0,A
171.0,65.0,A
168.0,64.0,A
79.0,64.0,A
156.0,44.0,A
162.0,57.0,A
168.0,64.0,A
148.0,77.0,A
30.0,20.0,A
7.0,13.0,A
65.0,24.0,A
72.0,65.0,A
130.0,68.0,A
134.0,49.0,A
128.0,79.0,A
30.0,64.0,A
19.0,39.0,A
27.0,43.0,A
28.0,34.0,A
136.0,81.0,A
168.0,64.0,A
177.0,2.0,A
173.0,36.0,A
151.0,53.0,A
21.0,7.0,A
71.0,57.0,A
169.0,29.0,A
119.0,64.0,A
118.0,81.0,A
147.0,81.0,A
30.0,20.0,A
30.0,23.0,A
14.0,39.0,A
30.0,20.0,A
66.0,3.0,A
72.0,72.0,A
163.0,15.0,A
149.0,23.0,A
131.0,35.0,A
168.0,20.0,A
2.0,65.0,A
168.0,64.0,A
166.0,34.0,A
99.0,42.0,A
150.0,77.0,A
159.0,28.0,A
140.0,47.0,A
190.0,37.0,A
119.0,20.0,A
2.0,28.0,A
32.0,5.0,A
44.0,66.0,A
30.0,20.0,A
2.0,21.0,A
138.0,73.0,A
174.0,43.0,A
165.0,62.0,A
174.0,42.0,A
168.0,47.0,A
168.0,20.0,A
129.0,17.0,A
164.0,68.0,A
175.0,43.0,A
168.0,64.0,A
169.0,45.0,A
155.0,52.0,A
164.0,76.0,A
160.0,42.0,A
30.0,64.0,A
13.0,39.0,A
99.0,42.0,A
166.0,42.0,A
168.0,20.0,A
168.0,64.0,A
55.0,8.0,A
113.0,81.0,A
11.0,57.0,A
127.0,79.0,A
193.0,19.0,A
14.0,77.0,A
137.0,8.0,A
134.0,56.0,A
191.0,11.0,A
168.0,20.0,A
84.0,70.0,A
105.0,77.0,A
144.0,6.0,A
79.0,64.0,A
170.0,36.0,A
2.0,48.0,A
24.0,31.0,A
5.0,60.0,A
72.0,22.0,A
41.0,39.0,A
29.0,43.0,A
36.0,57.0,A
